02D9	dot	DOT ABOVE	Uni.: 5.1; MUFI: 3.0
02DA	ring	RING ABOVE	Uni.: 5.1; MUFI: 3.0
02DB	ogon	OGONEK	Uni.: 5.1; MUFI: 3.0
02DC	tilde	SMALL TILDE	Uni.: 5.1; MUFI: 3.0
02DD	dblac	DOUBLE ACUTE ACCENT	Uni.: 5.1; MUFI: 3.0
02E3	xmod	MODIFIER LETTER SMALL X	Uni.: 5.1; MUFI: 3.0
0300	combgrave	COMBINING GRAVE ACCENT	Uni.: 5.1; MUFI: 3.0
0301	combacute	COMBINING ACUTE ACCENT	Uni.: 5.1; MUFI: 3.0
0302	combcirc	COMBINING CIRCUMFLEX ACCENT	Uni.: 5.1; MUFI: 3.0
0303	combtilde	COMBINING TILDE	Uni.: 5.1; MUFI: 3.0
0304	combmacr	COMBINING MACRON	Uni.: 5.1; MUFI: 3.0
0305	bar	COMBINING OVERLINE	Uni.: 5.1; MUFI: 3.0
0306	combbreve	COMBINING BREVE	Uni.: 5.1; MUFI: 3.0
0307	combdot	COMBINING DOT ABOVE	Uni.: 5.1; MUFI: 3.0
0308	combuml	COMBINING DIAERESIS	Uni.: 5.1; MUFI: 3.0
0309	combhook	COMBINING HOOK ABOVE	Uni.: 5.1; MUFI: 3.0
030A	combring	COMBINING RING ABOVE	Uni.: 5.1; MUFI: 3.0
030B	combdblac	COMBINING DOUBLE ACUTE ACCENT	Uni.: 5.1; MUFI: 3.0
030D	combsgvertl	COMBINING VERTICAL LINE ABOVE	Uni.: 5.1; MUFI: 3.0
030E	combdbvertl	COMBINING DOUBLE VERTICAL LINE ABOVE	Uni.: 5.1; MUFI: 3.0
0315	combcomma	COMBINING COMMA ABOVE RIGHT	Uni.: 5.1; MUFI: 3.0
0323	combdotbl	COMBINING DOT BELOW	Uni.: 5.1; MUFI: 3.0
0327	combced	COMBINING CEDILLA	Uni.: 5.1; MUFI: 3.0
0328	combogon	COMBINING OGONEK	Uni.: 5.1; MUFI: 3.0
